Best Full Bound,Test Error,Train Error,Norm Squared U,Norm Squared V,Number Parameters,Best Prior Bound,Best Prior Sigma U,Best Prior Sigma V,Stochastic Bnd Loss,Stochastic Test Loss,Beta,Step Size,Layer Width,Batch Size,Momentum,CE Stopping Value,Prior Examples,Dataset,Model Type,Sigma 2 Grid,Sigma 1 Grid,Init Key,KL Extra
1.0777594,0.045700014,0.039883316,63.36482,37.638935,635200,0.802969,0.0,0.05,0.28891668,0.2942,5.0,0.01,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.2385753,0.04370004,0.03364998,61.325207,32.90394,1270400,0.99967414,0.0,0.05,0.38,0.36839998,5.0,0.01,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.8754426,0.034500003,0.026183307,171.92175,151.85602,39700,0.57832867,0.0,0.13,0.19545834,0.1998,5.0,0.003,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.82910484,0.042900026,0.038966656,105.055595,75.30475,79400,0.5292659,0.0,0.07,0.19108333,0.19319999,5.0,0.003,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.8982193,0.03910005,0.037450016,98.16327,66.091385,158800,0.5921132,0.0,0.06,0.21225,0.21329999,5.0,0.003,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.9606359,0.0492,0.044833302,65.19966,43.417294,317600,0.65898985,0.0,0.05,0.24229166,0.241,5.0,0.003,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.0873533,0.046000004,0.039916635,57.530346,34.988766,635200,0.8113032,0.0,0.05,0.30845833,0.3021,5.0,0.003,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.2358462,0.047800004,0.03944999,45.319275,25.402388,1270400,0.9985039,0.0,0.05,0.403875,0.4043,5.0,0.003,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.8679395,0.035400033,0.026766658,166.7536,147.9048,39700,0.5786107,0.0,0.13,0.19870833,0.19489999,5.0,0.001,50,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.82614356,0.044100046,0.039816678,102.13316,73.731834,79400,0.5284162,0.0,0.07,0.197125,0.1885,5.0,0.001,100,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.89397186,0.040100038,0.038283348,95.28765,64.63573,158800,0.5876646,0.0,0.06,0.21591666,0.213,5.0,0.001,200,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
0.96057826,0.0492,0.045000017,64.62584,43.259377,317600,0.66088194,0.0,0.05,0.24075,0.24329999,5.0,0.001,400,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.0894624,0.046000004,0.040216684,56.920998,34.764095,635200,0.81052774,0.0,0.05,0.303875,0.3102,5.0,0.001,800,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
1.2409697,0.046800017,0.038766682,45.051,25.266716,1270400,1.0032291,0.0,0.05,0.405,0.4028,5.0,0.001,1600,200,0.9,0.1,36000,mnist,SHEL,"(0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2)","(0.0,)",2,64000
